【1. 现状重构与起笔】
- 上一幕最后已发生：林子发现PPT被同事改了大半，同事趴在桌上睡着。
- 已完成动作：林子初步浏览了修改后的PPT，确认质量不佳。
- 尚未完成动作：林子需要决定保留哪些修改、回退哪些、如何与同事沟通。
- 关键人物当前位置：林子坐在自己工位前，屏幕显示PPT；同事趴在相邻工位桌上。
- 当前可见物件：电脑屏幕上的PPT文件、同事趴睡的姿态、办公室环境。
- 当前具体问题：下午deadline前必须交出合格PPT，但同事的修改质量差且无法沟通。
- 正文最合适第一画面：林子盯着屏幕上被改得面目全非的某一页幻灯片，光标停在上面。

【2. 信息边界】
- 林子已知：PPT被大幅修改、修改质量不佳、同事加班睡着、下午要交。
- 林子未知：同事的具体修改逻辑、同事的真实动机、哪些修改有隐藏价值。
- 可依赖信息来源：PPT当前版本、版本历史记录、同事修改的时间戳和编辑序列。
- 下一步需要证据：修改是否遵循某种逻辑、是否有可保留的部分。
- 最易被旁白越权公布：同事修改时的真实心理和动机。

【3. 人物活化】
- 林子核心性格：务实、效率导向、不愿正面冲突、有职场边界感。
- 当前压力：deadline临近、不能叫醒同事、必须独自决策、还要维护关系。
- 本场被激活的人格侧面：压抑烦躁的理性分析者、被迫承担额外情绪劳动。
- 最刻板反应：内心抱怨同事多事、快速全部回退、用标准职场话术敷衍。
- 更具体但有逻辑的反应：先烦躁，但在版本历史中发现修改痕迹揭示同事花了大量时间、有某种笨拙的认真，烦躁转为复杂，但依然要基于专业判断做选择。
- 对白风格：本场以内心独白为主，语气应为克制、有吐槽感但不尖刻、从烦躁到复杂。

【4. 人物套路淘汰】
- 套路一：林子完全理解并感动，放弃专业判断接受所有修改。作废理由：林子是务实的人，不会因为好意就接受不合格的工作成果。
- 套路二：同事被写成纯粹的好人或坏人。作废理由：同事动机应保持模糊，通过修改痕迹暗示而非直接定性。

【5. 剧情套路淘汰】
- 套路一：林子发现同事修改中有隐藏天才，全部保留。作废理由：修改质量已确认为不佳，不应突然反转。
- 套路二：林子直接叫醒同事沟通解决。作废理由：契约规定不能叫醒，且这回避了独自决策的核心困境。
- 选择路线：通过版本历史的编辑序列和时间戳，林子发现同事的修改模式——可能是按照某种逻辑框架在调整，虽然执行不佳但思路有迹可循，这让她从单纯否定转向部分理解，但仍需基于专业做取舍。

【6. 句式套路淘汰】
- 候选一：直接心理解释“她明白了同事其实是想帮忙”。作废。
- 候选二：气氛总结“办公室里弥漫着尴尬的沉默”。作废。
- 候选三：环境余韵“窗外的阳光照在同事疲惫的脸上”。作废。
- story不得使用这些句式或执行相同解释功能。

【7. 行动与篇幅骨架】
因果链：
看到被改坏的页面（触发）
→ 林子判断必须检查修改逻辑（判断）
→ 打开版本历史，发现修改时间跨度长（第一次行动/新信息）
→ 逐页对比，发现同事修改有结构倾向但不专业（阻力/新信息）
→ 林子开始标记可保留部分，回退不合理部分（调整行动）
→ 发现某处修改揭示同事可能误解了项目方向（关键行动）
→ 同事翻身，林子停下操作看向同事（可见后果）
→ stop_state: 版本历史显示意外编辑模式，同事翻身

叙事单元（6-9个）：
1. 场景锚定：林子盯着被改坏的页面，光标停顿（150字）
2. 初步判断：快速浏览几个关键页面，确认问题严重（200字）
3. 打开版本历史：发现修改时间从昨晚持续到凌晨（250字）
4. 分析修改模式：对比前后版本，发现同事试图重构逻辑框架（350字）
5. 标记与回退：林子开始实际操作，内心矛盾（300字）
6. 意外发现：某处修改揭示同事可能误解或另有想法（350字）
7. 同事翻身：现场气氛变化，林子暂停操作（200字）
8. stop_state成立：版本历史停在意外编辑模式，同事翻身（150字）

预计总字数：1950字，接近2000目标，实际写作中会自然扩展至2000+。

【8. 停止与文火保护】
- 第一个满足stop_state的事实：版本历史显示一个意外的编辑模式（如同事在某页反复修改同一处、或添加了林子未预料到的内容结构），同时同事翻身。
- 最易追加的多余内容：林子内心总结同事动机、环境描写收尾。
- 叙事距离：紧密跟随林子视角，保持即时判断和行动。
- 对白风格：以内省和少量自言自语为主，语气克制。
- 易出现的OOC措辞：过于文艺的比喻、书面化的情绪总结。
